% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
8713	1	1	1	0	28	2196	0	1	0
8813	1	1	1	0	28	2196	0	1	0
8913	1	1	1	0	28	2196	0	1	0
9013	1	1	1	0	28	2196	0	1	0
9113	1	1	1	0	28	2196	0	1	0
9213	1	1	1	0	28	2196	0	1	0
9313	1	1	1	0	28	2196	0	1	0
9413	1	1	1	0	28	2196	0	1	0
9513	1	1	1	0	28	2196	0	1	0
9613	1	1	1	0	28	2196	0	1	0
9713	1	1	1	0	28	2196	0	1	0
9813	1	1	1	0	28	2196	0	1	0
9913	1	1	1	0	28	2196	0	1	0
10013	1	1	1	0	28	2196	0	1	0
10113	1	1	1	0	28	2196	0	1	0
10213	1	1	1	0	28	2196	0	1	0
10313	1	1	1	0	28	2196	0	1	0
10413	1	1	1	0	28	2196	0	1	0
10513	1	1	1	0	28	2196	0	1	0
10613	1	1	1	0	28	2196	0	1	0
10713	1	1	1	0	28	2196	0	1	0
10813	1	1	1	0	28	2196	0	1	0
10913	1	1	1	0	28	2196	0	1	0
11013	1	1	1	0	28	2196	0	1	0
11113	1	1	1	0	28	2196	0	1	0
11213	1	1	1	0	28	2196	0	1	0
11313	1	1	1	0	28	2196	0	1	0
11413	1	1	1	0	28	2196	0	1	0
11513	1	1	1	0	28	2196	0	1	0
11613	1	1	1	0	28	2196	0	1	0
11713	1	1	1	0	28	2196	0	1	0
11813	1	1	1	0	28	2196	0	1	0
11913	1	1	1	0	28	2196	0	1	0
12013	1	1	1	0	28	2196	0	1	0
12113	1	1	1	0	28	2196	0	1	0
12213	1	1	1	0	28	2196	0	1	0
12313	1	1	1	0	28	2196	0	1	0
12413	1	1	1	0	28	2196	0	1	0
12513	1	1	1	0	28	2196	0	1	0
12613	1	1	1	0	28	2196	0	1	0
12713	1	1	1	0	28	2196	0	1	0
12813	1	1	1	0	28	2196	0	1	0
12913	1	1	1	0	28	2196	0	1	0
13013	1	1	1	0	28	2196	0	1	0
13113	1	1	1	0	28	2196	0	1	0
13213	1	1	1	0	28	2196	0	1	0
13313	1	1	1	0	28	2196	0	1	0
13413	1	1	1	0	28	2196	0	1	0
13513	1	1	1	0	28	2196	0	1	0
13613	1	1	1	0	28	2196	0	1	0
13713	1	1	1	0	28	2196	0	1	0
13813	1	1	1	0	28	2196	0	1	0
13913	1	1	1	0	28	2196	0	1	0
14013	1	1	1	0	28	2196	0	1	0
14113	1	1	1	0	28	2196	0	1	0
14213	1	1	1	0	28	2196	0	1	0
14313	1	1	1	0	28	2196	0	1	0
14413	1	1	1	0	28	2196	0	1	0
14513	1	1	1	0	28	2196	0	1	0
14613	1	1	1	0	28	2196	0	1	0
14713	1	1	1	0	28	2196	0	1	0
14813	1	1	1	0	28	2196	0	1	0
14913	1	1	1	0	28	2196	0	1	0
15013	1	1	1	0	28	2196	0	1	0
15113	1	1	1	0	28	2196	0	1	0
15213	1	1	1	0	28	2196	0	1	0
15313	1	1	1	0	28	2196	0	1	0
15413	1	1	1	0	28	2196	0	1	0
15513	1	1	1	0	28	2196	0	1	0
15613	1	1	1	0	28	2196	0	1	0
15713	1	1	1	0	28	2196	0	1	0
15813	1	1	1	0	28	2196	0	1	0
15913	1	1	1	0	28	2196	0	1	0
16013	1	1	1	0	28	2196	0	1	0
16113	1	1	1	0	28	2196	0	1	0
16213	1	1	1	0	28	2196	0	1	0
16313	1	1	1	0	28	2196	0	1	0
16413	1	1	1	0	28	2196	0	1	0
16513	1	1	1	0	28	2196	0	1	0
16613	1	1	1	0	28	2196	0	1	0
