% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
35.281	1	1	1	5324.57	0
35.321	1	1	1	5324.57	0
35.361	1	1	1	5324.57	0
35.401	1	1	1	5324.57	0
35.441	1	1	1	5324.57	0
35.481	1	1	1	5324.57	0
35.521	1	1	1	5324.57	0
35.561	1	1	1	5324.57	0
35.601	1	1	1	5324.57	0
35.641	1	1	1	5324.57	0
35.681	1	1	1	5324.57	0
35.721	1	1	1	5324.57	0
35.761	1	1	1	5324.57	0
35.801	1	1	1	5324.57	0
35.841	1	1	1	5324.57	0
35.881	1	1	1	5324.57	0
35.921	1	1	1	5324.57	0
35.961	1	1	1	5324.57	0
36.001	1	1	1	5324.57	0
36.041	1	1	1	5324.57	0
36.081	1	1	1	5324.57	0
36.121	1	1	1	5324.57	0
36.161	1	1	1	5324.57	0
36.201	1	1	1	5324.57	0
36.241	1	1	1	5324.57	0
36.281	1	1	1	5324.57	0
36.321	1	1	1	5324.57	0
36.361	1	1	1	5324.57	0
36.401	1	1	1	5324.57	0
36.441	1	1	1	5324.57	0
36.481	1	1	1	5324.57	0
36.521	1	1	1	5324.57	0
36.561	1	1	1	5324.57	0
36.601	1	1	1	5324.57	0
36.641	1	1	1	5324.57	0
36.681	1	1	1	5324.57	0
36.721	1	1	1	5324.57	0
36.761	1	1	1	5324.57	0
36.801	1	1	1	5324.57	0
36.841	1	1	1	5324.57	0
36.881	1	1	1	5324.57	0
36.921	1	1	1	5324.57	0
36.961	1	1	1	5324.57	0
37.001	1	1	1	5324.57	0
37.041	1	1	1	5324.57	0
37.081	1	1	1	5324.57	0
37.121	1	1	1	5324.57	0
37.161	1	1	1	5324.57	0
37.201	1	1	1	5324.57	0
37.241	1	1	1	5324.57	0
37.281	1	1	1	5324.57	0
37.321	1	1	1	5324.57	0
37.361	1	1	1	5324.57	0
37.401	1	1	1	5324.57	0
37.441	1	1	1	5324.57	0
37.481	1	1	1	5324.57	0
37.521	1	1	1	5324.57	0
37.561	1	1	1	5324.57	0
37.601	1	1	1	5324.57	0
